age_id,age_value,age_grp
A1,74,65_to_74
A2,19,17_to_25
A3,33,26_to_39
A4,32,26_to_39
A5,61,40_to_64
A6,47,40_to_64
A7,69,65_to_74
A8,29,26_to_39
A9,55,40_to_64
A10,45,40_to_64
A11,50,40_to_64
A12,75,75_or_older
A13,25,17_to_25
A14,4,0_to_16
A15,27,26_to_39
A16,66,65_to_74
A17,26,26_to_39
A18,65,65_to_74
A19,60,40_to_64
A20,41,40_to_64
A21,42,40_to_64
A22,21,17_to_25
A23,38,26_to_39
A24,59,40_to_64
A25,68,65_to_74
A26,51,40_to_64
A27,35,26_to_39
A28,76,75_or_older
A29,63,40_to_64
A30,64,40_to_64
A31,30,26_to_39
A32,34,26_to_39
A33,46,40_to_64
A34,85,75_or_older
A35,92,75_or_older
A36,89,75_or_older
A37,77,75_or_older
A38,90,75_or_older
A39,31,26_to_39
A40,24,17_to_25
A41,49,40_to_64
A42,16,0_to_16
A43,22,17_to_25
A44,23,17_to_25
A45,80,75_or_older
A46,,
A47,67,65_to_74
A48,17,17_to_25
A49,71,65_to_74
A50,54,40_to_64
A51,18,17_to_25
A52,97,75_or_older
A53,83,75_or_older
A54,36,26_to_39
A55,70,65_to_74
A56,39,26_to_39
A57,43,40_to_64
A58,52,40_to_64
A59,53,40_to_64
A60,44,40_to_64
A61,57,40_to_64
A62,87,75_or_older
A63,58,40_to_64
A64,15,0_to_16
A65,81,75_or_older
A66,40,40_to_64
A67,56,40_to_64
A68,78,75_or_older
A69,28,26_to_39
A70,37,26_to_39
A71,48,40_to_64
A72,20,17_to_25
A73,62,40_to_64
A74,82,75_or_older
A75,96,75_or_older
A76,13,0_to_16
A77,12,0_to_16
A78,91,75_or_older
A79,11,0_to_16
A80,73,65_to_74
A81,14,0_to_16
A82,5,0_to_16
A83,2,0_to_16
A84,9,0_to_16
A85,1,0_to_16
A86,93,75_or_older
A87,94,75_or_older
A88,72,65_to_74
A89,79,75_or_older
A90,84,75_or_older
A91,6,0_to_16
A92,0,0_to_16
A93,3,0_to_16
A94,8,0_to_16
A95,86,75_or_older
A96,7,0_to_16
A97,88,75_or_older
A98,100,75_or_older
A99,10,0_to_16
A100,99,75_or_older
A101,95,75_or_older
A102,98,75_or_older
A103,19,
A104,101,75_or_older
